#source_current_uA,range_idx,measured_uA,adc_value
-990.099009901,1,-976.583143549,512005
-970.297029703,1,-957.215385742,501847
-950.495049505,1,-937.889193359,491709
-930.693069307,1,-918.506979974,481558
-910.891089109,1,-899.196262854,471444
-891.089108911,1,-879.802682361,461278
-871.287128713,1,-860.486050922,451137
-851.485148515,1,-841.093602509,440975
-831.683168317,1,-821.772816248,430846
-811.881188119,1,-802.372607300,420674
-792.079207921,1,-783.046681769,410541
-772.277227723,1,-763.654817596,400378
-752.475247525,1,-744.327149194,390250
-732.673267327,1,-724.909153223,380062
-712.871287129,1,-705.582977832,369932
-693.069306931,1,-686.184729034,359765
-673.267326733,1,-666.851502094,349620
-653.465346535,1,-647.437200299,339442
-633.663366337,1,-628.107000476,329313
-613.861386139,1,-608.704214526,319132
-594.059405941,1,-589.368565216,308998
-574.257425743,1,-569.966207812,298825
-554.455445545,1,-550.628375751,288687
-534.653465347,1,-531.223476129,278517
-514.851485149,1,-511.881325400,268376
-495.049504950,1,-492.478255103,258218
-475.247524752,1,-473.003543213,247976
-455.445544554,1,-453.659934244,237842
-435.643564356,1,-434.239206256,227672
-415.841584158,1,-414.903282770,217527
-396.039603960,1,-395.496289066,207358
-376.237623762,1,-376.157450601,197205
-356.435643564,1,-356.738122937,187032
-336.633663366,1,-337.327625461,176858
-316.831683168,1,-317.990580026,166722
-297.029702970,1,-298.581065317,156540
-277.227722772,1,-279.245834695,146420
-257.425742574,1,-259.834594724,136231
-237.623762376,1,-240.499208450,126085
-217.821782178,1,-221.083525085,115903
-198.019801980,1,-201.751285362,105777
-178.217821782,1,-182.344830894,95599
-158.415841584,1,-163.006289101,85473
-138.613861386,1,-143.579571915,75278
-118.811881188,1,-124.247405624,65138
-99.009900990,1,-104.838290405,54971
-79.207920792,1,-85.501181793,44829
-59.405940594,1,-66.076750374,34642
-39.603960396,1,-46.749108696,24512
-19.801980198,1,-27.339205170,14336
0.000000000,1,-8.000816304,4207
19.801980198,1,11.403005600,-5975
39.603960396,1,30.733536174,-16111
59.405940594,1,50.152652168,-26295
79.207920792,1,69.553065300,-36464
99.009900990,1,88.889299583,-46609
118.811881188,1,108.285802078,-56776
138.613861386,1,127.621711731,-66910
158.415841584,1,147.043384552,-77095
178.217821782,1,166.378642464,-87232
198.019801980,1,185.777579308,-97395
217.821782178,1,205.177879143,-107574
237.623762376,1,224.521821785,-117720
257.425742574,1,243.919824600,-127888
277.227722772,1,263.249618793,-138018
297.029702970,1,282.647798441,-148185
316.831683168,1,301.972353421,-158325
336.633663366,1,321.362313638,-168490
356.435643564,1,340.757196674,-178657
376.237623762,1,360.083158374,-188785
396.039603960,1,379.473126553,-198939
415.841584158,1,398.793754642,-209085
435.643564356,1,418.183253409,-219249
455.445544554,1,437.514671439,-229387
475.247524752,1,456.902434552,-239548
495.049504950,1,476.359911252,-249744
514.851485149,1,495.675850735,-259879
534.653465347,1,515.069918799,-270045
554.455445545,1,534.456501697,-280206
574.257425743,1,553.758540833,-290321
594.059405941,1,573.134677667,-300481
613.861386139,1,592.447303015,-310601
633.663366337,1,611.814013110,-320762
653.465346535,1,631.118626581,-330890
673.267326733,1,650.506520392,-341054
693.069306931,1,669.806022583,-351171
712.871287129,1,689.184789301,-361344
732.673267327,1,708.544326538,-371478
752.475247525,1,727.853246527,-381610
772.277227723,1,747.219599597,-391769
792.079207921,1,766.508574335,-401868
811.881188119,1,785.866793542,-412022
831.683168317,1,805.168960443,-422144
851.485148515,1,824.521002161,-432291
871.287128713,1,843.890659155,-442435
891.089108911,1,863.163637976,-452544
910.891089109,1,882.515436200,-462689
930.693069307,1,901.764219916,-472803
950.495049505,1,921.103100281,-482922
970.297029703,1,940.393455920,-493030
990.099009901,1,959.725367273,-503164
-99.009900990,2,-98.032820282,513975
-97.029702970,2,-96.093916340,503811
-95.049504950,2,-94.152957020,493638
-93.069306931,2,-92.206344604,483412
-91.089108911,2,-90.266477184,473265
-89.108910891,2,-88.318434258,463048
-87.128712871,2,-86.379674149,452875
-85.148514851,2,-84.432121334,442669
